Rank,Start,End,Type,Name
7,19155.538437,19155.556680,COMM,MetaBcast
7,19155.557508,19155.675097,COMM,ScatterData
7,19155.675100,19155.717835,COMP,RebuildData
7,19155.717837,19155.717840,COMM,BcastCentr
7,19155.717840,19155.720358,COMP,CalcLocal
7,19155.720360,19155.720820,COMM,AllReduce
7,19155.720820,19155.720821,COMP,Update
7,19155.720822,19155.721065,COMM,BcastCentr
7,19155.721065,19155.725843,COMP,CalcLocal
7,19155.725846,19155.726264,COMM,AllReduce
7,19155.726264,19155.726266,COMP,Update
7,19155.726266,19155.726267,COMM,BcastCentr
7,19155.726268,19155.731125,COMP,CalcLocal
7,19155.731125,19155.731324,COMM,AllReduce
7,19155.731325,19155.731326,COMP,Update
7,19155.731326,19155.731567,COMM,BcastCentr
7,19155.731567,19155.736271,COMP,CalcLocal
7,19155.736275,19155.736610,COMM,AllReduce
7,19155.736611,19155.736612,COMP,Update
7,19155.736612,19155.736762,COMM,BcastCentr
7,19155.736762,19155.741604,COMP,CalcLocal
7,19155.741605,19155.742010,COMM,AllReduce
7,19155.742010,19155.742011,COMP,Update
7,19155.742012,19155.742226,COMM,BcastCentr
7,19155.742226,19155.747095,COMP,CalcLocal
7,19155.747096,19155.747606,COMM,AllReduce
7,19155.747606,19155.747607,COMP,Update
7,19155.747607,19155.747800,COMM,BcastCentr
7,19155.747800,19155.752422,COMP,CalcLocal
7,19155.752423,19155.752737,COMM,AllReduce
7,19155.752737,19155.752737,COMP,Update
7,19155.752738,19155.752929,COMM,BcastCentr
7,19155.752929,19155.757548,COMP,CalcLocal
7,19155.757563,19155.757929,COMM,AllReduce
7,19155.757929,19155.757929,COMP,Update
7,19155.757930,19155.758121,COMM,BcastCentr
7,19155.758121,19155.762863,COMP,CalcLocal
7,19155.762864,19155.763338,COMM,AllReduce
7,19155.763339,19155.763340,COMP,Update
7,19155.763341,19155.763816,COMM,BcastCentr
7,19155.763817,19155.768287,COMP,CalcLocal
7,19155.768288,19155.768660,COMM,AllReduce
7,19155.768660,19155.768661,COMP,Update
7,19155.768662,19155.768831,COMM,BcastCentr
7,19155.768832,19155.773728,COMP,CalcLocal
7,19155.773728,19155.773879,COMM,AllReduce
7,19155.773879,19155.773880,COMP,Update
7,19155.773881,19155.774075,COMM,BcastCentr
7,19155.774075,19155.779091,COMP,CalcLocal
7,19155.779092,19155.779270,COMM,AllReduce
7,19155.779270,19155.779271,COMP,Update
7,19155.779271,19155.779438,COMM,BcastCentr
7,19155.779438,19155.784192,COMP,CalcLocal
7,19155.784192,19155.784500,COMM,AllReduce
7,19155.784500,19155.784501,COMP,Update
7,19155.784501,19155.784502,COMM,BcastCentr
7,19155.784502,19155.789459,COMP,CalcLocal
7,19155.789459,19155.789762,COMM,AllReduce
7,19155.789762,19155.789763,COMP,Update
7,19155.789764,19155.789765,COMM,BcastCentr
7,19155.789765,19155.794728,COMP,CalcLocal
7,19155.794728,19155.794896,COMM,AllReduce
7,19155.794896,19155.794897,COMP,Update
7,19155.794898,19155.795253,COMM,BcastCentr
7,19155.795253,19155.799889,COMP,CalcLocal
7,19155.799897,19155.800337,COMM,AllReduce
7,19155.800337,19155.800338,COMP,Update
7,19155.800338,19155.800540,COMM,BcastCentr
7,19155.800540,19155.805350,COMP,CalcLocal
7,19155.805350,19155.805503,COMM,AllReduce
7,19155.805503,19155.805504,COMP,Update
7,19155.805505,19155.805695,COMM,BcastCentr
7,19155.805695,19155.810439,COMP,CalcLocal
7,19155.810439,19155.810795,COMM,AllReduce
7,19155.810795,19155.810795,COMP,Update
7,19155.810796,19155.811182,COMM,BcastCentr
7,19155.811182,19155.815792,COMP,CalcLocal
7,19155.815792,19155.816400,COMM,AllReduce
7,19155.816401,19155.816402,COMP,Update
7,19155.816403,19155.816404,COMM,BcastCentr
7,19155.816404,19155.821012,COMP,CalcLocal
7,19155.821012,19155.821368,COMM,AllReduce
7,19155.821368,19155.821368,COMP,Update
7,19155.821369,19155.821369,COMM,BcastCentr
7,19155.821369,19155.826401,COMP,CalcLocal
7,19155.826402,19155.830775,COMM,AllReduce
7,19155.830776,19155.830777,COMP,Update
7,19155.830778,19155.830778,COMM,BcastCentr
7,19155.830778,19155.833130,COMP,CalcLocal
7,19155.833130,19155.833394,COMM,AllReduce
7,19155.833394,19155.833395,COMP,Update
