Rank,Start,End,Type,Name
2,16696.003191,16696.020832,COMM,MetaBcast
2,16696.021371,16696.030432,COMM,ScatterData
2,16696.030436,16696.065587,COMP,RebuildData
2,16696.065590,16696.083522,COMM,BcastCentr
2,16696.083522,16696.087115,COMP,CalcLocal
2,16696.087116,16696.185932,COMM,AllReduce
2,16696.185932,16696.185933,COMP,Update
2,16696.185933,16696.185941,COMM,BcastCentr
2,16696.185942,16696.189687,COMP,CalcLocal
2,16696.189688,16696.191028,COMM,AllReduce
2,16696.191028,16696.191029,COMP,Update
2,16696.191029,16696.191039,COMM,BcastCentr
2,16696.191039,16696.194706,COMP,CalcLocal
2,16696.194706,16696.196505,COMM,AllReduce
2,16696.196505,16696.196506,COMP,Update
2,16696.196506,16696.196511,COMM,BcastCentr
2,16696.196512,16696.200034,COMP,CalcLocal
2,16696.200036,16696.201690,COMM,AllReduce
2,16696.201690,16696.201691,COMP,Update
2,16696.201691,16696.201699,COMM,BcastCentr
2,16696.201699,16696.205322,COMP,CalcLocal
2,16696.205322,16696.207103,COMM,AllReduce
2,16696.207104,16696.207104,COMP,Update
2,16696.207105,16696.207115,COMM,BcastCentr
2,16696.207115,16696.210707,COMP,CalcLocal
2,16696.210707,16696.212702,COMM,AllReduce
2,16696.212703,16696.212703,COMP,Update
2,16696.212704,16696.212712,COMM,BcastCentr
2,16696.212712,16696.216332,COMP,CalcLocal
2,16696.216332,16696.217916,COMM,AllReduce
2,16696.217916,16696.217917,COMP,Update
2,16696.217917,16696.217925,COMM,BcastCentr
2,16696.217925,16696.221322,COMP,CalcLocal
2,16696.221329,16696.223108,COMM,AllReduce
2,16696.223108,16696.223109,COMP,Update
2,16696.223109,16696.223118,COMM,BcastCentr
2,16696.223118,16696.226541,COMP,CalcLocal
2,16696.226541,16696.228492,COMM,AllReduce
2,16696.228492,16696.228493,COMP,Update
2,16696.228493,16696.228501,COMM,BcastCentr
2,16696.228501,16696.231909,COMP,CalcLocal
2,16696.231909,16696.233820,COMM,AllReduce
2,16696.233820,16696.233821,COMP,Update
2,16696.233821,16696.233830,COMM,BcastCentr
2,16696.233830,16696.237277,COMP,CalcLocal
2,16696.237277,16696.239050,COMM,AllReduce
2,16696.239051,16696.239051,COMP,Update
2,16696.239052,16696.239059,COMM,BcastCentr
2,16696.239060,16696.242480,COMP,CalcLocal
2,16696.242480,16696.244420,COMM,AllReduce
2,16696.244421,16696.244421,COMP,Update
2,16696.244422,16696.244429,COMM,BcastCentr
2,16696.244430,16696.247821,COMP,CalcLocal
2,16696.247821,16696.249333,COMM,AllReduce
2,16696.249333,16696.249334,COMP,Update
2,16696.249334,16696.249341,COMM,BcastCentr
2,16696.249341,16696.252726,COMP,CalcLocal
2,16696.252726,16696.254600,COMM,AllReduce
2,16696.254600,16696.254600,COMP,Update
2,16696.254601,16696.254608,COMM,BcastCentr
2,16696.254608,16696.257974,COMP,CalcLocal
2,16696.257975,16696.260050,COMM,AllReduce
2,16696.260050,16696.260051,COMP,Update
2,16696.260051,16696.260059,COMM,BcastCentr
2,16696.260059,16696.263436,COMP,CalcLocal
2,16696.263444,16696.265467,COMM,AllReduce
2,16696.265467,16696.265468,COMP,Update
2,16696.265468,16696.265477,COMM,BcastCentr
2,16696.265477,16696.268858,COMP,CalcLocal
2,16696.268858,16696.270680,COMM,AllReduce
2,16696.270680,16696.270681,COMP,Update
2,16696.270681,16696.270689,COMM,BcastCentr
2,16696.270689,16696.274080,COMP,CalcLocal
2,16696.274080,16696.275927,COMM,AllReduce
2,16696.275927,16696.275927,COMP,Update
2,16696.275928,16696.275946,COMM,BcastCentr
2,16696.275946,16696.279302,COMP,CalcLocal
2,16696.279302,16696.281182,COMM,AllReduce
2,16696.281182,16696.281183,COMP,Update
2,16696.281183,16696.281190,COMM,BcastCentr
2,16696.281191,16696.284575,COMP,CalcLocal
2,16696.284575,16696.286212,COMM,AllReduce
2,16696.286212,16696.286212,COMP,Update
2,16696.286213,16696.286214,COMM,BcastCentr
2,16696.286214,16696.289585,COMP,CalcLocal
2,16696.289585,16696.291800,COMM,AllReduce
2,16696.291800,16696.291801,COMP,Update
2,16696.291802,16696.291809,COMM,BcastCentr
2,16696.291809,16696.295159,COMP,CalcLocal
2,16696.295159,16696.298459,COMM,AllReduce
2,16696.298459,16696.298460,COMP,Update
