Rank,Start,End,Type,Name
6,19155.538430,19155.556182,COMM,MetaBcast
6,19155.557189,19155.672695,COMM,ScatterData
6,19155.672697,19155.716354,COMP,RebuildData
6,19155.716356,19155.716363,COMM,BcastCentr
6,19155.716364,19155.719057,COMP,CalcLocal
6,19155.719059,19155.720788,COMM,AllReduce
6,19155.720788,19155.720789,COMP,Update
6,19155.720789,19155.721021,COMM,BcastCentr
6,19155.721021,19155.725754,COMP,CalcLocal
6,19155.725758,19155.726215,COMM,AllReduce
6,19155.726215,19155.726216,COMP,Update
6,19155.726216,19155.726221,COMM,BcastCentr
6,19155.726221,19155.731034,COMP,CalcLocal
6,19155.731034,19155.731320,COMM,AllReduce
6,19155.731320,19155.731321,COMP,Update
6,19155.731322,19155.731563,COMM,BcastCentr
6,19155.731563,19155.736178,COMP,CalcLocal
6,19155.736184,19155.736606,COMM,AllReduce
6,19155.736606,19155.736607,COMP,Update
6,19155.736608,19155.736756,COMM,BcastCentr
6,19155.736756,19155.741748,COMP,CalcLocal
6,19155.741749,19155.741978,COMM,AllReduce
6,19155.741979,19155.741980,COMP,Update
6,19155.741980,19155.742217,COMM,BcastCentr
6,19155.742217,19155.747345,COMP,CalcLocal
6,19155.747345,19155.747603,COMM,AllReduce
6,19155.747604,19155.747605,COMP,Update
6,19155.747606,19155.747798,COMM,BcastCentr
6,19155.747799,19155.752459,COMP,CalcLocal
6,19155.752460,19155.752735,COMM,AllReduce
6,19155.752735,19155.752736,COMP,Update
6,19155.752736,19155.752928,COMM,BcastCentr
6,19155.752928,19155.757574,COMP,CalcLocal
6,19155.757582,19155.757927,COMM,AllReduce
6,19155.757927,19155.757928,COMP,Update
6,19155.757929,19155.758119,COMM,BcastCentr
6,19155.758119,19155.763150,COMP,CalcLocal
6,19155.763151,19155.763320,COMM,AllReduce
6,19155.763320,19155.763321,COMP,Update
6,19155.763321,19155.763515,COMM,BcastCentr
6,19155.763515,19155.767927,COMP,CalcLocal
6,19155.767928,19155.768647,COMM,AllReduce
6,19155.768648,19155.768648,COMP,Update
6,19155.768649,19155.768827,COMM,BcastCentr
6,19155.768827,19155.773474,COMP,CalcLocal
6,19155.773474,19155.773878,COMM,AllReduce
6,19155.773878,19155.773879,COMP,Update
6,19155.773879,19155.774073,COMM,BcastCentr
6,19155.774073,19155.778828,COMP,CalcLocal
6,19155.778829,19155.779243,COMM,AllReduce
6,19155.779243,19155.779244,COMP,Update
6,19155.779245,19155.779436,COMM,BcastCentr
6,19155.779436,19155.784176,COMP,CalcLocal
6,19155.784176,19155.784498,COMM,AllReduce
6,19155.784498,19155.784498,COMP,Update
6,19155.784499,19155.784502,COMM,BcastCentr
6,19155.784502,19155.789093,COMP,CalcLocal
6,19155.789094,19155.789757,COMM,AllReduce
6,19155.789757,19155.789758,COMP,Update
6,19155.789759,19155.789765,COMM,BcastCentr
6,19155.789765,19155.794585,COMP,CalcLocal
6,19155.794586,19155.794890,COMM,AllReduce
6,19155.794890,19155.794891,COMP,Update
6,19155.794891,19155.795070,COMM,BcastCentr
6,19155.795070,19155.799539,COMP,CalcLocal
6,19155.799557,19155.800334,COMM,AllReduce
6,19155.800334,19155.800334,COMP,Update
6,19155.800334,19155.800531,COMM,BcastCentr
6,19155.800531,19155.805070,COMP,CalcLocal
6,19155.805071,19155.805500,COMM,AllReduce
6,19155.805500,19155.805501,COMP,Update
6,19155.805501,19155.805693,COMM,BcastCentr
6,19155.805693,19155.810615,COMP,CalcLocal
6,19155.810615,19155.810755,COMM,AllReduce
6,19155.810755,19155.810756,COMP,Update
6,19155.810757,19155.810952,COMM,BcastCentr
6,19155.810952,19155.815838,COMP,CalcLocal
6,19155.815838,19155.816222,COMM,AllReduce
6,19155.816222,19155.816223,COMP,Update
6,19155.816224,19155.816241,COMM,BcastCentr
6,19155.816242,19155.821058,COMP,CalcLocal
6,19155.821058,19155.821359,COMM,AllReduce
6,19155.821359,19155.821360,COMP,Update
6,19155.821360,19155.821361,COMM,BcastCentr
6,19155.821361,19155.826188,COMP,CalcLocal
6,19155.826188,19155.826718,COMM,AllReduce
6,19155.826718,19155.826720,COMP,Update
6,19155.826720,19155.826802,COMM,BcastCentr
6,19155.826802,19155.830606,COMP,CalcLocal
6,19155.830607,19155.833288,COMM,AllReduce
6,19155.833288,19155.833289,COMP,Update
