Rank,Start,End,Type,Name
5,19155.538419,19155.555935,COMM,MetaBcast
5,19155.556918,19155.668948,COMM,ScatterData
5,19155.668950,19155.714227,COMP,RebuildData
5,19155.714231,19155.714236,COMM,BcastCentr
5,19155.714236,19155.716642,COMP,CalcLocal
5,19155.716644,19155.720787,COMM,AllReduce
5,19155.720788,19155.720789,COMP,Update
5,19155.720789,19155.721021,COMM,BcastCentr
5,19155.721021,19155.725690,COMP,CalcLocal
5,19155.725695,19155.726216,COMM,AllReduce
5,19155.726216,19155.726217,COMP,Update
5,19155.726217,19155.726233,COMM,BcastCentr
5,19155.726234,19155.731012,COMP,CalcLocal
5,19155.731012,19155.731321,COMM,AllReduce
5,19155.731321,19155.731322,COMP,Update
5,19155.731323,19155.731569,COMM,BcastCentr
5,19155.731569,19155.736360,COMP,CalcLocal
5,19155.736364,19155.736604,COMM,AllReduce
5,19155.736604,19155.736605,COMP,Update
5,19155.736605,19155.736755,COMM,BcastCentr
5,19155.736755,19155.741785,COMP,CalcLocal
5,19155.741786,19155.741981,COMM,AllReduce
5,19155.741981,19155.741981,COMP,Update
5,19155.741982,19155.742214,COMM,BcastCentr
5,19155.742214,19155.746955,COMP,CalcLocal
5,19155.746956,19155.747608,COMM,AllReduce
5,19155.747608,19155.747609,COMP,Update
5,19155.747610,19155.747800,COMM,BcastCentr
5,19155.747800,19155.752553,COMP,CalcLocal
5,19155.752554,19155.752737,COMM,AllReduce
5,19155.752737,19155.752738,COMP,Update
5,19155.752738,19155.752930,COMM,BcastCentr
5,19155.752930,19155.757621,COMP,CalcLocal
5,19155.757628,19155.757929,COMM,AllReduce
5,19155.757929,19155.757930,COMP,Update
5,19155.757930,19155.758121,COMM,BcastCentr
5,19155.758121,19155.763095,COMP,CalcLocal
5,19155.763096,19155.763335,COMM,AllReduce
5,19155.763335,19155.763336,COMP,Update
5,19155.763337,19155.763591,COMM,BcastCentr
5,19155.763591,19155.768495,COMP,CalcLocal
5,19155.768495,19155.768671,COMM,AllReduce
5,19155.768672,19155.768673,COMP,Update
5,19155.768674,19155.768843,COMM,BcastCentr
5,19155.768843,19155.773485,COMP,CalcLocal
5,19155.773485,19155.773891,COMM,AllReduce
5,19155.773891,19155.773892,COMP,Update
5,19155.773892,19155.774078,COMM,BcastCentr
5,19155.774078,19155.778880,COMP,CalcLocal
5,19155.778880,19155.779253,COMM,AllReduce
5,19155.779253,19155.779254,COMP,Update
5,19155.779254,19155.779438,COMM,BcastCentr
5,19155.779438,19155.784113,COMP,CalcLocal
5,19155.784113,19155.784497,COMM,AllReduce
5,19155.784497,19155.784498,COMP,Update
5,19155.784498,19155.784502,COMM,BcastCentr
5,19155.784502,19155.789112,COMP,CalcLocal
5,19155.789112,19155.789760,COMM,AllReduce
5,19155.789760,19155.789761,COMP,Update
5,19155.789762,19155.789765,COMM,BcastCentr
5,19155.789765,19155.794638,COMP,CalcLocal
5,19155.794639,19155.794890,COMM,AllReduce
5,19155.794890,19155.794891,COMP,Update
5,19155.794892,19155.795073,COMM,BcastCentr
5,19155.795073,19155.799711,COMP,CalcLocal
5,19155.799722,19155.800337,COMM,AllReduce
5,19155.800337,19155.800338,COMP,Update
5,19155.800339,19155.800534,COMM,BcastCentr
5,19155.800535,19155.805032,COMP,CalcLocal
5,19155.805032,19155.805503,COMM,AllReduce
5,19155.805503,19155.805504,COMP,Update
5,19155.805505,19155.805695,COMM,BcastCentr
5,19155.805695,19155.810358,COMP,CalcLocal
5,19155.810359,19155.810761,COMM,AllReduce
5,19155.810761,19155.810762,COMP,Update
5,19155.810762,19155.811030,COMM,BcastCentr
5,19155.811030,19155.815569,COMP,CalcLocal
5,19155.815570,19155.816227,COMM,AllReduce
5,19155.816227,19155.816228,COMP,Update
5,19155.816229,19155.816243,COMM,BcastCentr
5,19155.816243,19155.820899,COMP,CalcLocal
5,19155.820900,19155.821355,COMM,AllReduce
5,19155.821355,19155.821356,COMP,Update
5,19155.821357,19155.821361,COMM,BcastCentr
5,19155.821361,19155.826042,COMP,CalcLocal
5,19155.826043,19155.826729,COMM,AllReduce
5,19155.826729,19155.826730,COMP,Update
5,19155.826731,19155.826802,COMM,BcastCentr
5,19155.826802,19155.830556,COMP,CalcLocal
5,19155.830556,19155.833286,COMM,AllReduce
5,19155.833286,19155.833288,COMP,Update
