Rank,Start,End,Type,Name
4,19155.538390,19155.555553,COMM,MetaBcast
4,19155.556405,19155.652775,COMM,ScatterData
4,19155.652778,19155.697545,COMP,RebuildData
4,19155.697548,19155.697571,COMM,BcastCentr
4,19155.697571,19155.700248,COMP,CalcLocal
4,19155.700250,19155.720785,COMM,AllReduce
4,19155.720785,19155.720787,COMP,Update
4,19155.720788,19155.721019,COMM,BcastCentr
4,19155.721019,19155.725734,COMP,CalcLocal
4,19155.725737,19155.726214,COMM,AllReduce
4,19155.726214,19155.726214,COMP,Update
4,19155.726215,19155.726221,COMM,BcastCentr
4,19155.726221,19155.730983,COMP,CalcLocal
4,19155.730984,19155.731316,COMM,AllReduce
4,19155.731316,19155.731317,COMP,Update
4,19155.731318,19155.731544,COMM,BcastCentr
4,19155.731544,19155.736263,COMP,CalcLocal
4,19155.736266,19155.736602,COMM,AllReduce
4,19155.736602,19155.736604,COMP,Update
4,19155.736604,19155.736753,COMM,BcastCentr
4,19155.736753,19155.741341,COMP,CalcLocal
4,19155.741342,19155.741979,COMM,AllReduce
4,19155.741979,19155.741980,COMP,Update
4,19155.741981,19155.742212,COMM,BcastCentr
4,19155.742212,19155.746757,COMP,CalcLocal
4,19155.746757,19155.747604,COMM,AllReduce
4,19155.747604,19155.747606,COMP,Update
4,19155.747606,19155.747799,COMM,BcastCentr
4,19155.747799,19155.752607,COMP,CalcLocal
4,19155.752608,19155.752735,COMM,AllReduce
4,19155.752735,19155.752736,COMP,Update
4,19155.752737,19155.752926,COMM,BcastCentr
4,19155.752927,19155.757792,COMP,CalcLocal
4,19155.757798,19155.757927,COMM,AllReduce
4,19155.757927,19155.757928,COMP,Update
4,19155.757928,19155.758119,COMM,BcastCentr
4,19155.758119,19155.762839,COMP,CalcLocal
4,19155.762839,19155.763316,COMM,AllReduce
4,19155.763316,19155.763318,COMP,Update
4,19155.763318,19155.763513,COMM,BcastCentr
4,19155.763514,19155.768436,COMP,CalcLocal
4,19155.768436,19155.768648,COMM,AllReduce
4,19155.768648,19155.768649,COMP,Update
4,19155.768649,19155.768827,COMM,BcastCentr
4,19155.768827,19155.773543,COMP,CalcLocal
4,19155.773543,19155.773879,COMM,AllReduce
4,19155.773879,19155.773881,COMP,Update
4,19155.773881,19155.774073,COMM,BcastCentr
4,19155.774073,19155.778855,COMP,CalcLocal
4,19155.778855,19155.779243,COMM,AllReduce
4,19155.779243,19155.779244,COMP,Update
4,19155.779245,19155.779434,COMM,BcastCentr
4,19155.779434,19155.784136,COMP,CalcLocal
4,19155.784136,19155.784495,COMM,AllReduce
4,19155.784495,19155.784496,COMP,Update
4,19155.784496,19155.784502,COMM,BcastCentr
4,19155.784502,19155.789159,COMP,CalcLocal
4,19155.789159,19155.789757,COMM,AllReduce
4,19155.789757,19155.789758,COMP,Update
4,19155.789759,19155.789765,COMM,BcastCentr
4,19155.789765,19155.794428,COMP,CalcLocal
4,19155.794429,19155.794889,COMM,AllReduce
4,19155.794890,19155.794891,COMP,Update
4,19155.794892,19155.795071,COMM,BcastCentr
4,19155.795071,19155.800157,COMP,CalcLocal
4,19155.800165,19155.800334,COMM,AllReduce
4,19155.800335,19155.800335,COMP,Update
4,19155.800336,19155.800531,COMM,BcastCentr
4,19155.800531,19155.805376,COMP,CalcLocal
4,19155.805376,19155.805500,COMM,AllReduce
4,19155.805500,19155.805501,COMP,Update
4,19155.805501,19155.805693,COMM,BcastCentr
4,19155.805693,19155.810595,COMP,CalcLocal
4,19155.810595,19155.810756,COMM,AllReduce
4,19155.810756,19155.810757,COMP,Update
4,19155.810757,19155.810952,COMM,BcastCentr
4,19155.810952,19155.815867,COMP,CalcLocal
4,19155.815868,19155.816221,COMM,AllReduce
4,19155.816221,19155.816223,COMP,Update
4,19155.816223,19155.816240,COMM,BcastCentr
4,19155.816240,19155.821041,COMP,CalcLocal
4,19155.821041,19155.821353,COMM,AllReduce
4,19155.821353,19155.821354,COMP,Update
4,19155.821354,19155.821361,COMM,BcastCentr
4,19155.821361,19155.825965,COMP,CalcLocal
4,19155.825966,19155.826715,COMM,AllReduce
4,19155.826715,19155.826717,COMP,Update
4,19155.826718,19155.826802,COMM,BcastCentr
4,19155.826802,19155.830607,COMP,CalcLocal
4,19155.830608,19155.833286,COMM,AllReduce
4,19155.833287,19155.833288,COMP,Update
