Rank,Start,End,Type,Name
0,16696.020396,16696.020515,COMM,MetaBcast
0,16696.029674,16696.046918,COMM,ScatterData
0,16696.046921,16696.083483,COMP,RebuildData
0,16696.083484,16696.083511,COMM,BcastCentr
0,16696.083511,16696.087024,COMP,CalcLocal
0,16696.087026,16696.185925,COMM,AllReduce
0,16696.185926,16696.185927,COMP,Update
0,16696.185928,16696.185941,COMM,BcastCentr
0,16696.185941,16696.189653,COMP,CalcLocal
0,16696.189656,16696.191028,COMM,AllReduce
0,16696.191028,16696.191029,COMP,Update
0,16696.191030,16696.191039,COMM,BcastCentr
0,16696.191039,16696.194668,COMP,CalcLocal
0,16696.194668,16696.196500,COMM,AllReduce
0,16696.196500,16696.196501,COMP,Update
0,16696.196502,16696.196511,COMM,BcastCentr
0,16696.196511,16696.200004,COMP,CalcLocal
0,16696.200007,16696.201690,COMM,AllReduce
0,16696.201690,16696.201691,COMP,Update
0,16696.201691,16696.201699,COMM,BcastCentr
0,16696.201699,16696.205324,COMP,CalcLocal
0,16696.205324,16696.207103,COMM,AllReduce
0,16696.207104,16696.207104,COMP,Update
0,16696.207105,16696.207115,COMM,BcastCentr
0,16696.207115,16696.210700,COMP,CalcLocal
0,16696.210700,16696.212702,COMM,AllReduce
0,16696.212703,16696.212703,COMP,Update
0,16696.212704,16696.212712,COMM,BcastCentr
0,16696.212712,16696.216323,COMP,CalcLocal
0,16696.216323,16696.217916,COMM,AllReduce
0,16696.217916,16696.217917,COMP,Update
0,16696.217917,16696.217925,COMM,BcastCentr
0,16696.217925,16696.221298,COMP,CalcLocal
0,16696.221310,16696.223108,COMM,AllReduce
0,16696.223108,16696.223109,COMP,Update
0,16696.223109,16696.223117,COMM,BcastCentr
0,16696.223117,16696.226511,COMP,CalcLocal
0,16696.226512,16696.228492,COMM,AllReduce
0,16696.228492,16696.228493,COMP,Update
0,16696.228493,16696.228501,COMM,BcastCentr
0,16696.228501,16696.231891,COMP,CalcLocal
0,16696.231891,16696.233820,COMM,AllReduce
0,16696.233820,16696.233821,COMP,Update
0,16696.233821,16696.233830,COMM,BcastCentr
0,16696.233830,16696.237220,COMP,CalcLocal
0,16696.237220,16696.239050,COMM,AllReduce
0,16696.239051,16696.239051,COMP,Update
0,16696.239052,16696.239059,COMM,BcastCentr
0,16696.239059,16696.242470,COMP,CalcLocal
0,16696.242470,16696.244420,COMM,AllReduce
0,16696.244421,16696.244421,COMP,Update
0,16696.244422,16696.244429,COMM,BcastCentr
0,16696.244429,16696.247805,COMP,CalcLocal
0,16696.247805,16696.249333,COMM,AllReduce
0,16696.249333,16696.249334,COMP,Update
0,16696.249335,16696.249341,COMM,BcastCentr
0,16696.249341,16696.252711,COMP,CalcLocal
0,16696.252711,16696.254600,COMM,AllReduce
0,16696.254600,16696.254601,COMP,Update
0,16696.254601,16696.254608,COMM,BcastCentr
0,16696.254608,16696.257976,COMP,CalcLocal
0,16696.257976,16696.260050,COMM,AllReduce
0,16696.260050,16696.260051,COMP,Update
0,16696.260051,16696.260059,COMM,BcastCentr
0,16696.260059,16696.263416,COMP,CalcLocal
0,16696.263430,16696.265467,COMM,AllReduce
0,16696.265467,16696.265468,COMP,Update
0,16696.265468,16696.265477,COMM,BcastCentr
0,16696.265477,16696.268835,COMP,CalcLocal
0,16696.268835,16696.270680,COMM,AllReduce
0,16696.270680,16696.270681,COMP,Update
0,16696.270681,16696.270689,COMM,BcastCentr
0,16696.270689,16696.274075,COMP,CalcLocal
0,16696.274075,16696.275926,COMM,AllReduce
0,16696.275927,16696.275927,COMP,Update
0,16696.275928,16696.275945,COMM,BcastCentr
0,16696.275945,16696.279296,COMP,CalcLocal
0,16696.279297,16696.281182,COMM,AllReduce
0,16696.281182,16696.281183,COMP,Update
0,16696.281183,16696.281190,COMM,BcastCentr
0,16696.281190,16696.284548,COMP,CalcLocal
0,16696.284549,16696.286204,COMM,AllReduce
0,16696.286204,16696.286205,COMP,Update
0,16696.286205,16696.286212,COMM,BcastCentr
0,16696.286212,16696.289565,COMP,CalcLocal
0,16696.289565,16696.291800,COMM,AllReduce
0,16696.291800,16696.291801,COMP,Update
0,16696.291802,16696.291809,COMM,BcastCentr
0,16696.291809,16696.295146,COMP,CalcLocal
0,16696.295146,16696.298459,COMM,AllReduce
0,16696.298459,16696.298460,COMP,Update
